-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2003 through 03/31/2021 
Location: Latitude  22.5726   Longitude 88.3639 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
YEAR,MO,DY,TS
2003,1,1,14.28
2003,1,2,15.47
2003,1,3,16.17
2003,1,4,16.3
2003,1,5,14.59
2003,1,6,14.51
2003,1,7,14.37
2003,1,8,14.01
2003,1,9,12.98
2003,1,10,12.75
2003,1,11,12.83
2003,1,12,12.87
2003,1,13,13.77
2003,1,14,13.62
2003,1,15,12.6
2003,1,16,13.54
2003,1,17,13.91
2003,1,18,14.6
2003,1,19,15.03
2003,1,20,14.9
2003,1,21,14.68
2003,1,22,13.69
2003,1,23,14.85
2003,1,24,16.51
2003,1,25,16.93
2003,1,26,17.59
2003,1,27,18.34
2003,1,28,18.61
2003,1,29,19.31
2003,1,30,20.19
2003,1,31,21.8
2003,2,1,22.93
2003,2,2,23.03
2003,2,3,23.18
2003,2,4,23.96
2003,2,5,21.84
2003,2,6,22.99
2003,2,7,22.4
2003,2,8,22.83
2003,2,9,23.58
2003,2,10,23.69
2003,2,11,24.04
2003,2,12,24.19
2003,2,13,23.44
2003,2,14,21.58
2003,2,15,21.61
2003,2,16,22.12
2003,2,17,22.66
2003,2,18,24.01
2003,2,19,24.44
2003,2,20,24.95
2003,2,21,24.21
2003,2,22,21.48
2003,2,23,21.92
2003,2,24,23.19
2003,2,25,24.67
2003,2,26,25.23
2003,2,27,25.84
2003,2,28,26.02
2003,3,1,27.46
2003,3,2,29.07
2003,3,3,29.24
2003,3,4,29.12
2003,3,5,23.35
2003,3,6,22.49
2003,3,7,22.51
2003,3,8,22.76
2003,3,9,23.84
2003,3,10,25.23
2003,3,11,25.3
2003,3,12,25.7
2003,3,13,24.77
2003,3,14,25.19
2003,3,15,26.24
2003,3,16,25.81
2003,3,17,27.01
2003,3,18,27.33
2003,3,19,26.88
2003,3,20,26.64
2003,3,21,26.5
2003,3,22,25.33
2003,3,23,26.97
2003,3,24,28.85
2003,3,25,29.27
2003,3,26,29.95
2003,3,27,29.42
2003,3,28,29.63
2003,3,29,29.61
2003,3,30,28.66
2003,3,31,29.51
2003,4,1,29.48
2003,4,2,29.61
2003,4,3,31.19
2003,4,4,30.0
2003,4,5,30.28
2003,4,6,31.63
2003,4,7,32.23
2003,4,8,32.08
2003,4,9,31.76
2003,4,10,31.81
2003,4,11,32.15
2003,4,12,32.51
2003,4,13,32.83
2003,4,14,33.15
2003,4,15,34.55
2003,4,16,33.4
2003,4,17,33.33
2003,4,18,34.48
2003,4,19,33.7
2003,4,20,33.3
2003,4,21,34.2
2003,4,22,34.43
2003,4,23,34.17
2003,4,24,34.24
2003,4,25,34.74
2003,4,26,35.05
2003,4,27,34.56
2003,4,28,34.67
2003,4,29,35.75
2003,4,30,35.13
2003,5,1,33.49
2003,5,2,33.31
2003,5,3,34.11
2003,5,4,35.4
2003,5,5,34.33
2003,5,6,34.97
2003,5,7,35.93
2003,5,8,34.75
2003,5,9,34.11
2003,5,10,33.7
2003,5,11,34.41
2003,5,12,34.9
2003,5,13,35.3
2003,5,14,33.92
2003,5,15,35.23
2003,5,16,36.64
2003,5,17,34.74
2003,5,18,36.55
2003,5,19,35.27
2003,5,20,36.3
2003,5,21,32.3
2003,5,22,30.62
2003,5,23,33.5
2003,5,24,31.27
2003,5,25,32.74
2003,5,26,34.48
2003,5,27,34.88
2003,5,28,35.33
2003,5,29,35.08
2003,5,30,34.55
2003,5,31,33.89
2003,6,1,34.56
2003,6,2,32.85
2003,6,3,32.73
2003,6,4,31.75
2003,6,5,31.93
2003,6,6,31.74
2003,6,7,31.89
2003,6,8,32.6
2003,6,9,33.05
2003,6,10,32.35
2003,6,11,33.26
2003,6,12,34.72
2003,6,13,33.02
2003,6,14,32.23
2003,6,15,31.41
2003,6,16,33.27
2003,6,17,33.43
2003,6,18,29.91
2003,6,19,29.51
2003,6,20,27.96
2003,6,21,28.42
2003,6,22,28.67
2003,6,23,28.36
2003,6,24,28.69
2003,6,25,28.4
2003,6,26,27.91
2003,6,27,28.45
2003,6,28,28.51
2003,6,29,28.18
2003,6,30,27.89
2003,7,1,27.7
2003,7,2,28.39
2003,7,3,28.63
2003,7,4,28.73
2003,7,5,28.81
2003,7,6,28.46
2003,7,7,28.81
2003,7,8,28.8
2003,7,9,29.37
2003,7,10,28.05
2003,7,11,28.63
2003,7,12,28.43
2003,7,13,28.0
2003,7,14,28.16
2003,7,15,27.91
2003,7,16,29.02
2003,7,17,29.15
2003,7,18,28.7
2003,7,19,29.33
2003,7,20,29.74
2003,7,21,28.41
2003,7,22,29.26
2003,7,23,28.96
2003,7,24,29.33
2003,7,25,28.19
2003,7,26,28.96
2003,7,27,28.79
2003,7,28,28.91
2003,7,29,28.37
2003,7,30,27.52
2003,7,31,28.19
2003,8,1,27.2
2003,8,2,27.8
2003,8,3,28.55
2003,8,4,28.47
2003,8,5,29.02
2003,8,6,28.88
2003,8,7,28.76
2003,8,8,28.67
2003,8,9,28.23
2003,8,10,28.57
2003,8,11,28.26
2003,8,12,28.9
2003,8,13,28.4
2003,8,14,28.69
2003,8,15,28.26
2003,8,16,28.87
2003,8,17,29.22
2003,8,18,28.8
2003,8,19,28.76
2003,8,20,29.15
2003,8,21,29.01
2003,8,22,28.36
2003,8,23,28.51
2003,8,24,28.09
2003,8,25,28.78
2003,8,26,29.49
2003,8,27,28.28
2003,8,28,27.88
2003,8,29,28.12
2003,8,30,28.73
2003,8,31,28.69
2003,9,1,28.44
2003,9,2,28.08
2003,9,3,29.0
2003,9,4,28.74
2003,9,5,28.52
2003,9,6,27.52
2003,9,7,27.8
2003,9,8,28.03
2003,9,9,28.33
2003,9,10,27.77
2003,9,11,28.38
2003,9,12,27.96
2003,9,13,28.34
